BLOCK,TCAM,HASH,ALU,QUALIFY
125,0,0,0,0
126,0,0,0,5
127,0,1,1,1
128,0,0,3,6
129,0,0,0,0
130,0,0,1,1
131,0,0,0,1
132,0,0,2,0
133,0,0,0,0
134,0,0,1,0
135,0,0,1,0
136,0,0,6,0
137,0,0,0,0
138,0,0,2,2
139,0,0,11,5
140,0,0,13,0
141,0,0,0,0
142,0,0,1,1
143,0,0,4,4
144,0,0,7,0
145,0,0,0,3
146,0,0,2,0
147,0,0,4,0
148,0,0,0,0
149,0,0,2,0
150,0,0,4,0
151,0,0,0,0
152,0,0,2,0
153,0,0,4,0
154,0,0,0,0
155,0,0,2,0
156,0,0,4,0
157,0,0,0,0
158,0,1,11,0
159,0,0,0,0
160,0,1,11,0
161,0,0,0,0
162,0,2,11,0
163,0,0,0,0
164,0,2,11,0
165,0,0,0,0
166,0,0,0,0
167,0,0,1,1
168,0,0,2,2
169,0,0,21,3
170,0,0,2,4
171,0,0,0,0
172,0,0,0,1
173,0,0,0,4
174,0,0,1,0
175,0,0,16,0
176,0,0,0,0
177,0,0,1,0
178,0,0,15,0
179,0,0,0,0
180,0,0,1,0
181,0,0,15,0
182,0,0,0,0
183,0,0,1,0
184,0,0,20,0
185,0,0,0,0
186,0,0,0,0
187,1,0,2,0
188,0,0,0,0
189,0,0,2,8
190,0,0,0,0
191,0,1,3,1
192,0,0,0,0
193,0,1,3,1
194,0,1,4,0
195,0,0,0,0
196,0,1,4,0
197,0,0,0,0
198,0,0,2,2
199,0,0,2,4
200,0,0,0,1
201,0,0,10,8
202,0,0,1,0
203,0,0,2,5
204,0,0,2,5
205,0,0,0,0
206,0,0,3,1
207,0,0,7,0
208,0,0,1,0
209,0,0,2,0
210,0,0,0,0
211,0,0,2,4
212,0,0,0,1
213,0,0,0,1
214,0,0,11,7
215,0,0,6,5
216,0,0,1,0
217,0,0,2,0
218,0,0,0,0
219,0,0,1,0
220,0,0,2,0
221,0,0,0,0
222,0,0,1,0
223,0,0,1,0
224,0,0,1,0
225,0,0,3,0
226,0,0,0,0
227,0,0,7,9
228,0,0,0,2
229,0,0,0,0
230,0,0,0,1
231,0,0,0,0
232,0,0,2,4
233,0,0,0,4
234,0,0,14,8
235,0,0,0,8
236,0,0,0,9
237,0,0,2,0
238,0,0,0,0
239,0,0,1,0
240,0,0,0,0
241,0,0,2,0
242,0,0,0,0
243,0,0,2,0
244,0,0,0,0
245,0,0,2,0
246,0,0,0,0
247,0,0,1,0
248,0,0,1,0
249,0,0,0,0
250,0,0,5,3
251,0,0,1,0
252,0,0,0,0
253,0,0,5,3
254,0,0,1,0
255,0,0,0,0
256,0,0,5,3
257,0,1,3,0
258,0,0,1,0
259,0,0,0,0
260,0,0,0,2
261,0,1,3,0
262,0,0,0,0
263,0,1,3,0
264,0,0,0,0
265,0,1,3,0
266,0,0,0,0
267,0,1,3,0
268,0,0,1,0
269,0,0,0,0
270,0,1,3,0
271,0,0,1,0
272,0,0,0,0
273,0,1,3,0
274,0,0,1,0
275,0,0,0,0
276,0,1,3,0
277,0,0,1,0
278,0,0,0,0
279,0,1,3,0
280,0,0,1,0
281,0,0,0,0
282,0,0,0,0
283,0,0,1,1
284,0,0,0,1
285,0,1,2,0
286,0,0,2,0
287,0,0,0,0
288,0,1,2,0
289,0,0,2,0
290,0,0,0,0
291,0,0,2,0
292,0,0,0,0
293,0,1,2,0
294,0,0,2,0
295,0,0,1,1
296,0,0,2,2
297,0,1,2,0
298,0,0,4,2
299,0,0,2,0
300,0,0,1,1
301,0,0,2,2
302,0,0,0,2
303,0,0,7,0
304,1,0,2,0
305,0,0,0,0
306,0,0,7,0
307,1,0,2,0
308,0,0,0,0
309,1,0,2,0
310,0,0,0,0
311,0,0,2,0
312,0,0,0,0
313,0,0,0,0
314,0,0,1,1
315,0,0,1,0
316,0,0,2,0
317,0,0,0,0
318,0,0,5,0
319,0,0,1,0
320,0,0,0,0
321,0,0,2,0
322,0,0,0,0
323,0,0,2,1
324,0,0,1,3
325,0,0,0,2
326,0,0,0,1
327,0,0,0,0
328,0,0,0,1
329,0,0,7,4
330,0,0,1,1
331,0,0,0,1
332,0,0,0,1
333,0,0,9,6
334,0,0,1,0
335,0,0,2,0
336,0,0,1,0
337,0,0,0,0
338,0,0,0,1
339,0,0,0,0
340,0,0,1,1
341,1,0,2,0
342,0,0,0,0
343,0,0,10,4
344,0,0,3,0
345,0,0,0,0
346,0,1,3,0
347,0,0,0,0
348,0,1,3,0
349,0,0,0,0
350,0,0,0,2
351,0,1,3,0
352,0,0,0,0
353,0,0,0,1
354,0,0,0,2
355,0,0,0,1
356,0,0,1,0
357,0,0,0,0
358,0,0,1,1
359,0,0,2,1
360,0,0,17,1
361,0,0,0,0
362,0,0,1,5
363,0,0,0,0
364,0,0,1,3
365,0,0,0,5
366,0,0,1,1
367,0,0,0,1
368,0,0,0,0
369,0,0,2,1
370,0,0,3,0
371,0,0,0,0
372,0,0,0,0
373,0,0,2,2
374,0,0,2,3
375,0,0,6,3
376,0,0,8,5
377,0,0,2,0
378,0,0,4,0
379,0,0,0,0
380,0,0,1,0
381,0,0,0,0
382,0,0,1,0
383,0,0,2,0
384,0,0,0,0
385,0,0,1,3
386,0,0,1,0
387,0,0,1,0
388,0,0,6,0
389,0,0,0,0
390,0,0,2,3
391,0,0,2,0
392,0,0,10,0
393,0,0,0,0
394,0,0,0,0
395,0,0,0,1
396,0,0,0,0
397,0,0,0,1
398,0,0,0,0
399,0,0,0,1
400,0,0,0,0
401,0,0,0,1
402,0,0,0,0
403,0,0,6,8
404,0,0,8,0
405,0,0,1,0
406,0,0,0,0
407,0,0,0,1
408,0,0,7,0
409,0,0,1,0
410,0,0,1,0
411,0,0,1,0
412,0,0,0,0
413,0,0,0,0
414,0,0,9,4
415,0,0,6,0
416,0,0,1,1
417,0,0,25,4
418,0,0,2,0
419,0,0,0,0
420,0,0,2,0
421,0,0,0,0
422,0,0,0,0
423,0,0,1,1
424,0,1,3,0
425,0,0,0,0
426,0,1,3,0
427,0,0,0,0
428,0,0,0,2
429,0,1,3,0
430,0,0,0,0
431,0,0,0,1
432,0,0,0,2
433,0,0,2,4
434,0,0,10,0
435,0,0,7,0
436,0,0,1,0
437,0,0,0,0
438,0,0,18,0
439,0,0,0,0
440,0,0,2,5
441,0,0,2,5
442,0,0,0,0
443,0,0,8,3
444,0,0,1,0
445,0,0,2,0
446,0,0,1,0
447,0,0,1,0
448,0,0,0,0
449,0,0,22,8
450,0,0,2,0
451,0,0,0,0
452,0,0,0,2
453,0,0,22,2
454,0,0,0,0
455,0,0,1,1
456,0,0,3,5
457,0,0,0,0
458,0,0,1,1
459,0,0,0,0
460,0,0,8,2
461,0,0,2,5
462,0,0,2,5
463,0,0,1,1
464,0,0,1,0
465,0,0,2,0
466,0,0,1,0
467,0,0,1,0
468,0,0,0,0
469,0,0,0,7
470,0,0,2,0
471,0,0,0,0
472,0,1,3,0
473,0,0,1,0
474,0,0,0,0
475,0,0,0,2
476,0,1,3,0
477,0,0,0,0
478,0,1,3,0
479,0,0,0,0
480,0,1,3,0
481,0,0,0,0
482,0,1,3,0
483,0,0,1,0
484,0,0,0,0
485,0,1,3,0
486,0,0,1,0
487,0,0,0,0
488,0,1,3,0
489,0,0,1,0
490,0,0,0,0
491,0,1,3,0
492,0,0,1,0
493,0,0,0,0
494,0,1,3,0
495,0,0,1,0
496,0,0,0,0
497,0,0,0,0
498,0,0,1,1
499,0,0,0,1
500,0,0,1,0
501,0,0,1,1
502,0,0,0,2
503,0,0,0,0
504,0,0,2,4
505,0,0,0,6
506,0,0,1,0
507,0,0,0,0
508,0,0,1,4
509,0,0,1,0
510,0,0,1,0
511,0,0,0,0
512,0,0,1,0
513,0,0,1,0
514,0,0,0,0
515,0,0,1,0
516,0,0,1,0
517,0,0,0,0
518,0,0,1,0
519,0,0,1,0
520,0,0,0,0
521,0,0,1,0
522,0,0,1,0
523,0,0,1,0
524,0,0,0,0
525,0,0,1,0
526,0,0,1,0
527,0,0,0,0
528,0,0,0,0
529,0,0,1,4
530,0,1,1,1
531,0,0,6,1
532,0,0,3,1
533,0,0,0,0
534,1,0,7,1
535,0,0,7,6
536,0,0,0,0
537,1,0,7,1
538,0,0,7,4
539,0,0,0,2
540,0,0,0,0
541,1,0,7,1
542,0,0,1,0
543,0,0,0,0
544,0,0,1,5
545,0,0,0,2
546,1,0,7,0
547,0,0,0,0
548,0,0,0,0
549,0,0,7,6
550,0,0,2,0
551,0,0,0,0
552,0,0,0,0
553,1,0,7,1
554,0,0,7,7
555,1,0,7,1
556,0,0,0,1
557,0,0,1,0
558,0,0,0,0
559,0,0,1,5
560,0,0,1,0
561,0,0,0,0
562,0,0,1,5
563,0,0,4,0
564,0,0,1,0
565,0,0,0,0
566,0,0,0,1
567,0,0,2,0
568,0,0,0,0
569,0,0,0,0
570,0,0,7,2
571,0,0,4,0
572,0,0,0,0
573,0,0,2,1
574,0,0,6,3
575,0,0,9,0
576,0,0,1,0
577,0,0,0,0
578,0,0,2,1
579,0,0,3,1
580,0,0,0,0
581,0,2,11,0
582,0,0,0,0
583,0,2,11,0
584,0,0,0,0
585,0,0,0,6
586,0,1,4,0
587,0,0,0,0
588,0,0,4,7
589,0,0,0,1
590,0,0,0,0
591,0,0,1,1
592,0,0,0,0
593,0,0,1,1
594,0,0,1,1
595,0,1,9,0
596,0,0,1,0
597,0,0,2,0
598,0,0,0,0
599,0,1,1,1
600,0,0,6,0
601,0,0,1,1
602,0,0,1,1
603,0,0,18,8
604,0,0,7,0
605,0,0,0,0
606,0,0,25,1
